#mpa_vJan21_CHOCOPhlAnSGB_202103
#/opt/conda/envs/humann/bin/metaphlan /data/script/ma-mix-2159yk_out/ma-mix-2159yk_FKDL190725375-1a-9_1_humann_temp/tmpu9w4jd9z/tmp3ix9bzio --bowtie2db /database/HUMAnN/metaphlan/ -o /data/script/ma-mix-2159yk_out/ma-mix-2159yk_FKDL190725375-1a-9_1_humann_temp/ma-mix-2159yk_FKDL190725375-1a-9_1_metaphlan_bugs_list.tsv --input_type fastq --bowtie2out /data/script/ma-mix-2159yk_out/ma-mix-2159yk_FKDL190725375-1a-9_1_humann_temp/ma-mix-2159yk_FKDL190725375-1a-9_1_metaphlan_bowtie2.txt --nproc 8
#30841241 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Bacteroidetes	2|976	54.53682	
k__Bacteria|p__Firmicutes	2|1239	42.99348	
k__Bacteria|p__Proteobacteria	2|1224	2.13209	
k__Bacteria|p__Actinobacteria	2|201174	0.33108	
k__Bacteria|p__Lentisphaerae	2|256845	0.00652	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	54.53682	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	38.86228	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	3.75114	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.2315	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.6969	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.29673	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.26386	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.20369	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.06722	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.03885	
k__Bacteria|p__Firmicutes|c__CFGB11737	2|1239|	0.01536	
k__Bacteria|p__Firmicutes|c__CFGB3053	2|1239|	0.01281	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.00948	
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.00652	
k__Bacteria|p__Firmicutes|c__CFGB1218	2|1239|	0.00252	
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.00214	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.00119	
k__Bacteria|p__Firmicutes|c__CFGB1340	2|1239|	0.00097	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	54.53682	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	35.29362	
